学校,所在地,AB区,院校建设计划,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,蜜蜂所,(095133)(专业学位)畜牧,全日制,专业：6(不含推免),(101)思想政治理论,(204)英语（二）,(340)农业知识综合二,(836)畜禽生产学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,蜜蜂所,(095133)(专业学位)畜牧,全日制,专业：6(不含推免),(101)思想政治理论,(204)英语（二）,(340)农业知识综合二,(836)畜禽生产学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,蜜蜂所,(095135)(专业学位)食品加工与安全,全日制,专业：6(不含推免),(101)思想政治理论,(204)英语（二）,(341)农业知识综合三,(841)食品加工工艺学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,蜜蜂所,(095135)(专业学位)食品加工与安全,全日制,专业：6(不含推免),(101)思想政治理论,(204)英语（二）,(341)农业知识综合三,(841)食品加工工艺学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,天津环保所,(095132)(专业学位)资源利用与植物保护,全日制,专业：21(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(833)高级土壤学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,天津环保所,(095132)(专业学位)资源利用与植物保护,全日制,专业：21(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(833)高级土壤学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,灌溉所,(095136)(专业学位)农业工程与信息技术,全日制,专业：3(不含推免),(101)思想政治理论,(204)英语（二）,(341)农业知识综合三,(814)农田水利学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,郑州果树所,(095131)(专业学位)农艺与种业,全日制,专业：10(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(832)园艺作物育种与栽培,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,郑州果树所,(095132)(专业学位)资源利用与植物保护,全日制,专业：2(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(835)植物保护学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,郑州果树所,(095135)(专业学位)食品加工与安全,全日制,专业：0(不含推免),(101)思想政治理论,(204)英语（二）,(341)农业知识综合三,(841)食品加工工艺学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,郑州果树所,(095135)(专业学位)食品加工与安全,全日制,专业：0(不含推免),(101)思想政治理论,(204)英语（二）,(341)农业知识综合三,(841)食品加工工艺学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,棉花所,(095131)(专业学位)农艺与种业,全日制,专业：18(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(831)作物育种与栽培,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,棉花所,(095132)(专业学位)资源利用与植物保护,全日制,专业：3(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(835)植物保护学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,油料所,(095131)(专业学位)农艺与种业,全日制,专业：10(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(831)作物育种与栽培,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,油料所,(095131)(专业学位)农艺与种业,全日制,专业：10(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(831)作物育种与栽培,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,油料所,(095132)(专业学位)资源利用与植物保护,全日制,专业：2(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(834)植物营养学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,油料所,(095132)(专业学位)资源利用与植物保护,全日制,专业：2(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(835)植物保护学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,油料所,(095135)(专业学位)食品加工与安全,全日制,专业：9(不含推免),(101)思想政治理论,(204)英语（二）,(341)农业知识综合三,(841)食品加工工艺学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,油料所,(095135)(专业学位)食品加工与安全,全日制,专业：9(不含推免),(101)思想政治理论,(204)英语（二）,(341)农业知识综合三,(841)食品加工工艺学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,油料所,(095135)(专业学位)食品加工与安全,全日制,专业：9(不含推免),(101)思想政治理论,(204)英语（二）,(341)农业知识综合三,(841)食品加工工艺学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,麻类所,(095131)(专业学位)农艺与种业,全日制,专业：2(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(831)作物育种与栽培,-,-,-,-,-,-,-,-,-,-,-,-
