学校,所在地,AB区,院校建设计划,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试,-,-,-,-,-,-,-,-,-,-,-,-
中国空间技术研究院(航天五院),北京,A,普通院校,统考,不区分院系所,(083500)软件工程,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(909)计算机专业基础综合,-,-,-,-,-,-,-,-,-,-,-,-
中国空间技术研究院(航天五院),北京,A,普通院校,统考,不区分院系所,(083500)软件工程,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(909)计算机专业基础综合,-,-,-,-,-,-,-,-,-,-,-,-
中国空间技术研究院(航天五院),北京,A,普通院校,统考,不区分院系所,(083500)软件工程,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(909)计算机专业基础综合,-,-,-,-,-,-,-,-,-,-,-,-
中国空间技术研究院(航天五院),北京,A,普通院校,统考,不区分院系所,(083500)软件工程,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(909)计算机专业基础综合,-,-,-,-,-,-,-,-,-,-,-,-
南开大学,天津,A,985，211，双一流,统考,软件学院,(083500)软件工程,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)C++与数据结构,-,-,-,-,-,-,-,-,-,-,-,-
天津大学,天津,A,985，211，双一流,统考,天津大学佐治亚理工深圳学院,(083500)软件工程,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(901)数据结构与程序设计,-,-,-,-,-,-,-,-,-,-,-,-
天津科技大学,天津,A,普通院校,统考,人工智能学院,(083500)软件工程,全日制,专业：26(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(842)自命题计算机学科专业基础综合,-,-,-,-,-,-,-,-,-,-,-,-
天津科技大学,天津,A,普通院校,统考,人工智能学院,(083500)软件工程,全日制,专业：26(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(842)自命题计算机学科专业基础综合,-,-,-,-,-,-,-,-,-,-,-,-
天津科技大学,天津,A,普通院校,统考,人工智能学院,(083500)软件工程,全日制,专业：26(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(842)自命题计算机学科专业基础综合,-,-,-,-,-,-,-,-,-,-,-,-
天津科技大学,天津,A,普通院校,统考,人工智能学院,(083500)软件工程,全日制,专业：26(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(842)自命题计算机学科专业基础综合,-,-,-,-,-,-,-,-,-,-,-,-
天津工业大学,天津,A,双一流,统考,软件学院,(083500)软件工程,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(840)软件工程专业基础综合,-,-,-,-,-,-,-,-,-,-,-,-
天津工业大学,天津,A,双一流,统考,软件学院,(083500)软件工程,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(840)软件工程专业基础综合,-,-,-,-,-,-,-,-,-,-,-,-
天津工业大学,天津,A,双一流,统考,软件学院,(083500)软件工程,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(840)软件工程专业基础综合,-,-,-,-,-,-,-,-,-,-,-,-
天津理工大学,天津,A,普通院校,统考,计算机科学与工程学院,(083500)软件工程,全日制,专业：10(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(808)数据结构与操作系统,-,-,-,-,-,-,-,-,-,-,-,-
天津理工大学,天津,A,普通院校,统考,计算机科学与工程学院,(083500)软件工程,全日制,专业：10(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(808)数据结构与操作系统,-,-,-,-,-,-,-,-,-,-,-,-
天津理工大学,天津,A,普通院校,统考,计算机科学与工程学院,(083500)软件工程,全日制,专业：10(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(808)数据结构与操作系统,-,-,-,-,-,-,-,-,-,-,-,-
天津理工大学,天津,A,普通院校,统考,计算机科学与工程学院,(083500)软件工程,全日制,专业：10(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(808)数据结构与操作系统,-,-,-,-,-,-,-,-,-,-,-,-
天津职业技术师范大学,天津,A,普通院校,统考,信息技术工程学院,(083500)软件工程,全日制,专业：19(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(808)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
河北大学,河北,A,普通院校,统考,数学与信息科学学院,(083500)软件工程,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
河北大学,河北,A,普通院校,统考,数学与信息科学学院,(083500)软件工程,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
河北大学,河北,A,普通院校,统考,数学与信息科学学院,(083500)软件工程,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
河北大学,河北,A,普通院校,统考,数学与信息科学学院,(083500)软件工程,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
河北大学,河北,A,普通院校,统考,数学与信息科学学院,(083500)软件工程,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
河北大学,河北,A,普通院校,统考,数学与信息科学学院,(083500)软件工程,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
河北大学,河北,A,普通院校,统考,数学与信息科学学院,(083500)软件工程,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
河北师范大学,河北,A,普通院校,统考,职业技术学院、中燃工学院,(083500)软件工程,全日制,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(839)软件工程专业基础（数据结构与程序设计）,-,-,-,-,-,-,-,-,-,-,-,-
河北师范大学,河北,A,普通院校,统考,职业技术学院、中燃工学院,(083500)软件工程,全日制,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(839)软件工程专业基础（数据结构与程序设计）,-,-,-,-,-,-,-,-,-,-,-,-
河北师范大学,河北,A,普通院校,统考,职业技术学院、中燃工学院,(083500)软件工程,全日制,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(839)软件工程专业基础（数据结构与程序设计）,-,-,-,-,-,-,-,-,-,-,-,-
河北师范大学,河北,A,普通院校,统考,职业技术学院、中燃工学院,(083500)软件工程,全日制,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(839)软件工程专业基础（数据结构与程序设计）,-,-,-,-,-,-,-,-,-,-,-,-
太原科技大学,山西,A,普通院校,统考,计算机科学与技术学院,(083500)软件工程,全日制,专业：21(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(828)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
太原科技大学,山西,A,普通院校,统考,计算机科学与技术学院,(083500)软件工程,全日制,专业：21(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(828)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
太原科技大学,山西,A,普通院校,统考,计算机科学与技术学院,(083500)软件工程,全日制,专业：21(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(828)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
中北大学,山西,A,普通院校,统考,软件学院,(083500)软件工程,全日制,专业：10(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(822)数据结构与算法,-,-,-,-,-,-,-,-,-,-,-,-
中北大学,山西,A,普通院校,统考,软件学院,(083500)软件工程,全日制,专业：10(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(822)数据结构与算法,-,-,-,-,-,-,-,-,-,-,-,-
中北大学,山西,A,普通院校,统考,软件学院,(083500)软件工程,全日制,专业：10(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(822)数据结构与算法,-,-,-,-,-,-,-,-,-,-,-,-
太原理工大学,山西,A,211，双一流,统考,软件学院,(083500)软件工程,全日制,专业：12(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(895)软件工程专业基础,-,-,-,-,-,-,-,-,-,-,-,-
太原理工大学,山西,A,211，双一流,统考,软件学院,(083500)软件工程,全日制,专业：12(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(895)软件工程专业基础,-,-,-,-,-,-,-,-,-,-,-,-
太原理工大学,山西,A,211，双一流,统考,软件学院,(083500)软件工程,全日制,专业：12(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(895)软件工程专业基础,-,-,-,-,-,-,-,-,-,-,-,-
内蒙古大学,内蒙古,B,211，双一流,统考,计算机学院,(083500)软件工程,全日制,专业：25(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(893)数据结构与操作系统(自命题),-,-,-,-,-,-,-,-,-,-,-,-
辽宁大学,辽宁,A,211，双一流,统考,信息学院,(083500)软件工程,全日制,专业：10(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(408)计算机学科专业基础,(101)思想政治理论,(202)俄语,(302)数学（二）,(408)计算机学科专业基础,(101)思想政治理论,(203)日语,(302)数学（二）,(408)计算机学科专业基础,-,-,-,-
大连理工大学,辽宁,A,985，211，双一流,统考,（开发区校区）软件学院,(083500)软件工程,全日制,专业：13(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(887)软件工程,-,-,-,-,-,-,-,-,-,-,-,-
东北大学,辽宁,A,985，211，双一流,统考,软件学院,(083500)软件工程,全日制,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(858)C语言程序设计与数据结构,-,-,-,-,-,-,-,-,-,-,-,-
东北大学,辽宁,A,985，211，双一流,统考,软件学院,(083500)软件工程,全日制,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(858)C语言程序设计与数据结构,-,-,-,-,-,-,-,-,-,-,-,-
东北大学,辽宁,A,985，211，双一流,统考,软件学院,(083500)软件工程,全日制,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(858)C语言程序设计与数据结构,-,-,-,-,-,-,-,-,-,-,-,-
东北大学,辽宁,A,985，211，双一流,统考,软件学院,(083500)软件工程,全日制,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(858)C语言程序设计与数据结构,-,-,-,-,-,-,-,-,-,-,-,-
东北大学,辽宁,A,985，211，双一流,统考,软件学院,(083500)软件工程,全日制,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(858)C语言程序设计与数据结构,-,-,-,-,-,-,-,-,-,-,-,-
辽宁科技大学,辽宁,A,普通院校,统考,计算机与软件工程学院,(083500)软件工程,全日制,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(808)专业基础综合(数据结构与算法、数据库原理),(101)思想政治理论,(202)俄语,(302)数学（二）,(808)专业基础综合(数据结构与算法、数据库原理),(101)思想政治理论,(203)日语,(302)数学（二）,(808)专业基础综合(数据结构与算法、数据库原理),-,-,-,-
